,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25
0,0.000357461569365114,0.025431914255023003,0.12517857551574707,0.000357461569365114,0.000357461569365114,0.6905189156532288,0.000357461569365114,0.000357461569365114,0.000357461569365114,0.000357461569365114,0.000357461569365114,0.000357461569365114,0.05404411628842354,0.000357461569365114,0.000357461569365114,0.000357461569365114,0.000357461569365114,0.000357461569365114,0.000357461569365114,0.000357461569365114,0.000357461569365114,0.000357461569365114,0.09767718613147736,0.000357461569365114,0.000357461569365114
1,0.0004451129352673888,0.0004451129352673888,0.540056049823761,0.0004451129352673888,0.0004451129352673888,0.1510225385427475,0.0004451129352673888,0.03434469550848007,0.0004451129352673888,0.06843820214271545,0.0429653599858284,0.0004451129352673888,0.0004451129352673888,0.0004451129352673888,0.0004451129352673888,0.0004451129352673888,0.0004451129352673888,0.0004451129352673888,0.0004451129352673888,0.0004451129352673888,0.0004451129352673888,0.0004451129352673888,0.15471599996089935,0.0004451129352673888,0.0004451129352673888
2,0.00048811722081154585,0.00048811722081154585,0.04487094283103943,0.8985127806663513,0.00048811722081154585,0.00048811722081154585,0.00048811722081154585,0.00048811722081154585,0.00048811722081154585,0.00048811722081154585,0.00048811722081154585,0.04587769880890846,0.00048811722081154585,0.00048811722081154585,0.00048811722081154585,0.00048811722081154585,0.00048811722081154585,0.00048811722081154585,0.00048811722081154585,0.00048811722081154585,0.00048811722081154585,0.00048811722081154585,0.00048811722081154585,0.00048811722081154585,0.00048811722081154585
3,0.0005140188150107861,0.0005140188150107861,0.0005140188150107861,0.0005140188150107861,0.0005140188150107861,0.0005140188150107861,0.0005140188150107861,0.0005140188150107861,0.7374163269996643,0.0005140188150107861,0.0005140188150107861,0.0005140188150107861,0.0005140188150107861,0.0005140188150107861,0.0005140188150107861,0.07366032153367996,0.0005140188150107861,0.0005140188150107861,0.0005140188150107861,0.0005140188150107861,0.0005140188150107861,0.0005140188150107861,0.03785446658730507,0.14027447998523712,0.0005140188150107861
4,0.0003746114962268621,0.0003746114962268621,0.07802504301071167,0.0003746114962268621,0.0003746114962268621,0.0003746114962268621,0.0003746114962268621,0.0003746114962268621,0.01572384685277939,0.0003746114962268621,0.0003746114962268621,0.0003746114962268621,0.0003746114962268621,0.0003746114962268621,0.0003746114962268621,0.0003746114962268621,0.09690327942371368,0.01754242181777954,0.0003746114962268621,0.0003746114962268621,0.0003746114962268621,0.23383338749408722,0.0003746114962268621,0.48504960536956787,0.06617943197488785
5,0.0004129268054384738,0.0004129268054384738,0.0004129268054384738,0.0004129268054384738,0.0004129268054384738,0.0004129268054384738,0.0004129268054384738,0.0004129268054384738,0.0004129268054384738,0.3761025369167328,0.33264797925949097,0.0004129268054384738,0.0004129268054384738,0.08592434227466583,0.0004129268054384738,0.0004129268054384738,0.053692400455474854,0.0004129268054384738,0.0004129268054384738,0.0004129268054384738,0.0004129268054384738,0.04151887819170952,0.0004129268054384738,0.0004129268054384738,0.10226821899414062
6,0.00033750993316061795,0.00033750993316061795,0.00033750993316061795,0.00033750993316061795,0.00033750993316061795,0.04326857626438141,0.00033750993316061795,0.00033750993316061795,0.00033750993316061795,0.00033750993316061795,0.00033750993316061795,0.00033750993316061795,0.00033750993316061795,0.00033750993316061795,0.008638543076813221,0.00033750993316061795,0.015274206176400185,0.00033750993316061795,0.6388488411903381,0.2872196435928345,0.00033750993316061795,0.00033750993316061795,0.00033750993316061795,0.00033750993316061795,0.00033750993316061795
7,0.00018997731967829168,0.00018997731967829168,0.00018997731967829168,0.00018997731967829168,0.00018997731967829168,0.00018997731967829168,0.00018997731967829168,0.00018997731967829168,0.00018997731967829168,0.00018997731967829168,0.00018997731967829168,0.00018997731967829168,0.00018997731967829168,0.00018997731967829168,0.00018997731967829168,0.00018997731967829168,0.4749658405780792,0.00018997731967829168,0.00018997731967829168,0.00018997731967829168,0.00018997731967829168,0.00018997731967829168,0.00018997731967829168,0.13709120452404022,0.38376346230506897
8,0.030223574489355087,0.00038025042158551514,0.00038025042158551514,0.06170567125082016,0.00038025042158551514,0.02263191156089306,0.00038025042158551514,0.19350647926330566,0.00038025042158551514,0.208827942609787,0.00038025042158551514,0.29211053252220154,0.00038025042158551514,0.1077166497707367,0.00038025042158551514,0.00038025042158551514,0.0768129825592041,0.00038025042158551514,0.00038025042158551514,0.00038025042158551514,0.00038025042158551514,0.00038025042158551514,0.00038025042158551514,0.00038025042158551514,0.00038025042158551514
9,0.00047697723493911326,0.00047697723493911326,0.00047697723493911326,0.00047697723493911326,0.11160798370838165,0.00047697723493911326,0.00047697723493911326,0.00047697723493911326,0.00047697723493911326,0.00047697723493911326,0.00047697723493911326,0.00047697723493911326,0.00047697723493911326,0.00047697723493911326,0.00047697723493911326,0.00047697723493911326,0.706106960773468,0.00047697723493911326,0.00047697723493911326,0.00047697723493911326,0.00047697723493911326,0.00047697723493911326,0.026501910760998726,0.14576664566993713,0.00047697723493911326
