,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
33,33,24.0,0.4645382761955261,"[(2, 0.04093701), (10, 0.14042678), (17, 0.1067323), (21, 0.10322002), (24, 0.46453828), (29, 0.035278477), (31, 0.08770993)]"
34,34,24.0,0.4889673590660095,"[(0, 0.05942619), (15, 0.05948551), (16, 0.022557799), (17, 0.22525144), (20, 0.03228727), (24, 0.48896736), (32, 0.043794416), (33, 0.014618436), (39, 0.044802476)]"
35,35,2.0,0.5105460286140442,"[(2, 0.510546), (13, 0.07589992), (18, 0.11428082), (22, 0.15969175), (29, 0.037375856), (32, 0.040670298), (35, 0.03923012)]"
36,36,24.0,0.5947657227516174,"[(7, 0.010216744), (8, 0.03757726), (17, 0.29894975), (23, 0.020706523), (24, 0.5947657), (27, 0.019654749), (35, 0.01011682)]"
37,37,31.0,0.41916537284851074,"[(9, 0.15175854), (11, 0.02578087), (17, 0.054234203), (21, 0.05689798), (24, 0.044577032), (31, 0.41916537), (37, 0.22695546)]"
38,38,31.0,0.5070943832397461,"[(16, 0.091744885), (17, 0.22081275), (25, 0.033416223), (27, 0.05853808), (31, 0.5070944), (36, 0.07068098)]"
39,39,33.0,0.26260435581207275,"[(19, 0.1448559), (21, 0.13089335), (31, 0.17534769), (33, 0.26260436), (38, 0.24825151)]"
40,40,28.0,0.26467737555503845,"[(0, 0.0336716), (3, 0.10998492), (4, 0.06251736), (8, 0.014493807), (14, 0.06612551), (20, 0.15333515), (22, 0.06982535), (28, 0.26467738), (31, 0.18435162), (37, 0.031147385)]"
41,41,17.0,0.40582409501075745,"[(15, 0.28663546), (17, 0.4058241), (20, 0.1437565), (23, 0.09592042), (39, 0.036609333)]"
42,42,15.0,0.2573968470096588,"[(3, 0.10322938), (11, 0.06312599), (12, 0.06541778), (15, 0.25739685), (17, 0.068436325), (21, 0.029686928), (23, 0.047120914), (26, 0.10452384), (28, 0.010529299), (29, 0.18791635), (36, 0.055574927)]"
43,43,29.0,0.37770116329193115,"[(1, 0.27026793), (3, 0.049392942), (19, 0.23191427), (25, 0.049376924), (29, 0.37770116)]"
44,44,4.0,0.5372012257575989,"[(3, 0.4298497), (4, 0.5372012), (5, 0.013137325), (17, 0.010986345)]"
45,45,15.0,0.7474336624145508,"[(4, 0.038317207), (10, 0.018320449), (12, 0.1560439), (15, 0.74743366), (28, 0.029589763)]"
